,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,1000.0,0.1,5.0,0.0,0.339,0.193,1.0,0.404,1.0,0.404,0.404,0.0
1,2.0,1000.0,0.2,5.0,0.051,0.55,0.447,1.0,0.697,1.0,0.697,0.697,0.0
2,2.0,1000.0,0.3,5.0,0.229,0.633,0.58,1.0,0.836,1.0,0.836,0.836,0.0
3,2.0,1000.0,0.4,5.0,0.378,0.717,0.7,1.0,0.918,1.0,0.918,0.918,0.0
4,2.0,1000.0,0.5,5.0,0.475,0.722,0.706,1.0,0.928,1.0,0.928,0.928,0.0
5,2.0,1000.0,0.6,5.0,0.52,0.759,0.745,1.0,0.955,1.0,0.955,0.955,0.0
6,2.0,1000.0,0.7,5.0,0.569,0.778,0.768,1.0,0.962,1.0,0.962,0.962,0.0
7,2.0,1000.0,0.8,5.0,0.578,0.784,0.775,1.0,0.968,1.0,0.968,0.968,0.0
8,2.0,1000.0,0.9,5.0,0.644,0.827,0.822,1.0,0.981,1.0,0.981,0.981,0.0005
9,2.0,1000.0,1.0,5.0,0.639,0.817,0.808,1.0,0.979,1.0,0.979,0.979,0.0
