,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,3.0,200.0,50.0,4.0,0.0,0.045,0.01,1.0,0.28,1.0,0.28,0.28
1,3.0,200.0,100.0,4.0,0.005,0.17,0.125,1.0,0.7,1.0,0.7,0.7
2,3.0,200.0,150.0,4.0,0.015,0.255,0.24,1.0,0.845,1.0,0.845,0.845
3,3.0,200.0,200.0,4.0,0.15,0.36,0.35,1.0,0.945,1.0,0.945,0.945
4,3.0,200.0,250.0,4.0,0.205,0.39,0.37,1.0,0.955,1.0,0.955,0.955
5,3.0,200.0,300.0,4.0,0.34,0.51,0.495,1.0,0.975,1.0,0.975,0.975
6,3.0,200.0,350.0,4.0,0.375,0.475,0.475,1.0,0.99,1.0,0.99,0.99
7,3.0,200.0,400.0,4.0,0.445,0.55,0.55,1.0,0.99,1.0,0.99,0.99
8,3.0,200.0,450.0,4.0,0.45,0.545,0.54,1.0,0.995,1.0,0.995,0.995
