,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecPR,NecPR and fair,NecPR exists,NDDPR,NDDPR and fair,NDDPR exists,PDDPR,PDDPR and fair,PDDPR exists,PosPR,PosPR and fair,PosPR exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecPR err,NecPR and fair err,NecPR exists err,NDDPR err,NDDPR and fair err,NDDPR exists err,PDDPR err,PDDPR and fair err,PDDPR exists err,PosPR err,PosPR and fair err,PosPR exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,1000.0,0.5,2.0,5.774,0.915,0.123,0.123,0.09,1.38,0.714,0.23,4.704,2.864,0.89,42.261,5.774,1.0,1.706,1.407,0.21,1.706,1.028,0.21,0.12593960768870446,0.00882342636694231,0.013492703696926463,0.013492703696926463,0.009054390204866477,0.07988730801561648,0.0487501854414994,0.01331455133593608,0.10072005028060962,0.07783033831072278,0.009899393819724418,0.10519479523695431,0.12593960768870446,0.0,0.11882627522431088,0.11374660122082457,0.01288666233227464,0.11882627522431088,0.09877739100104321,0.01288666233227464
1,3.0,1000.0,0.5,3.0,107.566,1.0,0.521,0.521,0.164,11.81,8.778,0.357,165.448,73.008,1.0,1013.732,107.566,1.0,44.559,42.351,0.357,44.559,18.43,0.357,1.409760642474129,0.0,0.045646934646727845,0.045646934646727845,0.011715000693181425,0.5327398161501651,0.41204186012405886,0.01515852172148659,1.5544715107320803,1.1024269958964545,0.0,0.7943696867323498,1.409760642474129,0.0,2.08633633873312,2.0716712144113556,0.01515852172148659,2.08633633873312,1.5688710770667091,0.01515852172148659
2,3.0,1000.0,0.5,4.0,2252.082,1.0,4.005,4.005,0.239,175.32,134.933,0.411,4627.45,1729.275,1.0,23732.873,2252.082,1.0,979.506,971.413,0.411,979.506,316.244,0.411,21.5838663487931,0.0,0.37519561131061585,0.37519561131061585,0.013493000446937702,7.215340514399769,5.695209031889604,0.01556667341859915,26.773405250896502,19.194748285318475,0.0,8.781835543125808,21.5838663487931,0.0,39.88720450278569,39.86505101870213,0.01556667341859915,39.88720450278569,27.852016431190098,0.01556667341859915
3,3.0,1000.0,0.5,5.0,48622.267,1.0,25.665,25.665,0.301,2801.485,2277.819,0.449,122727.316,40159.883,1.0,558705.05,48622.267,1.0,22648.023,22648.023,0.449,22648.023,5290.898,0.449,396.08357697544176,0.0,2.1633614834113852,2.1633614834113852,0.014512395033543209,108.39223470488703,89.82975069735721,0.015736792768752044,503.34432720740404,361.69166999456064,0.0,109.27496797550627,396.08357697544176,0.0,838.8972941896222,838.8972941896222,0.015736792768752044,838.8972941896222,521.1329166598695,0.015736792768752044
