,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair
0,50.0,5.0,0.0,0.39,0.20259887334887336,1.0,0.11180574646968214,1.0,0.06821428571428569
1,100.0,5.0,0.11,0.56,0.3759390908228194,1.0,0.21935072048166784,1.0,0.12657737473687702
2,150.0,5.0,0.16,0.64,0.48240351155544237,1.0,0.2969139157032857,1.0,0.1731434605928007
3,200.0,5.0,0.4,0.8,0.6337067493766755,1.0,0.3674845641089408,1.0,0.21968947646945788
4,250.0,5.0,0.5,0.75,0.6022584390021135,1.0,0.40164231287677404,1.0,0.2438669959283298
5,300.0,5.0,0.59,0.74,0.6346782061521388,1.0,0.45907691400088785,1.0,0.2815580607046382
6,350.0,5.0,0.63,0.78,0.6827317622096749,1.0,0.4729400534237877,1.0,0.2941545909272349
7,400.0,5.0,0.53,0.83,0.7069608325414062,1.0,0.47527785722156485,1.0,0.3018985327140278
8,450.0,5.0,0.6,0.89,0.7685155226534848,1.0,0.48167748398860444,1.0,0.3056786655229714
