,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecPR,NecPR and fair,NecPR exists,NDDPR,NDDPR and fair,NDDPR exists,PDDPR,PDDPR and fair,PDDPR exists,PosPR,PosPR and fair,PosPR exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecPR err,NecPR and fair err,NecPR exists err,NDDPR err,NDDPR and fair err,NDDPR exists err,PDDPR err,PDDPR and fair err,PDDPR exists err,PosPR err,PosPR and fair err,PosPR exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,2.0,1000.0,0.1,5.0,11.07,0.992,0.0,0.0,0.0,2.643,1.162,0.339,78.643,8.448,1.0,168.0,11.07,1.0,3.884,2.478,0.337,3.884,0.478,0.337,0.1373607220713693,0.002818500300504507,0.0,0.0,0.0,0.13074649381779094,0.06603117533495914,0.014976758771620224,0.13074649381779213,0.1344446777353844,0.0,0.0,0.1373607220713693,0.0,0.18906689369186316,0.16908609081206563,0.01495508791865346,0.18906689369186316,0.07939659828871651,0.01495508791865346
1,2.0,1000.0,0.2,5.0,21.088,1.0,0.082,0.082,0.051,7.105,4.575,0.55,83.105,17.882,1.0,168.082,21.088,1.0,12.074,10.305,0.55,12.074,2.565,0.55,0.21788467070845002,0.0,0.01270580329760529,0.01270580329760529,0.006960420062571472,0.23882841961126403,0.16158739271826092,0.015740004693383918,0.2388284196112615,0.2188514838240123,0.0,0.012705803297705525,0.21788467070845002,0.0,0.38569844086706817,0.39225226173578254,0.015740004693383918,0.38569844086706817,0.2503966323125642,0.015740004693383918
2,2.0,1000.0,0.3,5.0,29.914,1.0,0.516,0.516,0.229,10.735,8.105,0.633,86.735,26.371,1.0,168.516,29.914,1.0,19.907,18.621,0.633,19.907,6.602,0.633,0.2870627266104202,0.0,0.03785732659839013,0.03785732659839013,0.013294199326613685,0.29956387217672553,0.24090248859031946,0.015249378464171697,0.2995638721767264,0.2828875825913616,0.0,0.03785732659845601,0.2870627266104202,0.0,0.5341569756866184,0.5484105333717736,0.015249378464171697,0.5341569756866184,0.4488686657354009,0.015249378464171697
3,2.0,1000.0,0.4,5.0,37.147,1.0,1.218,1.218,0.378,14.684,12.057,0.717,90.684,33.267,1.0,169.218,37.147,1.0,28.218,27.767,0.717,28.218,9.76,0.717,0.3508796196810349,0.0,0.06536626613742556,0.06536626613742556,0.015341165254026545,0.3478291665877506,0.29997288999963767,0.01425181090648182,0.3478291665877494,0.34817659016358016,0.0,0.06536626613746185,0.3508796196810349,0.0,0.6305077446122418,0.6403301755608068,0.01425181090648182,0.6305077446122418,0.5915897044222275,0.01425181090648182
4,2.0,1000.0,0.5,5.0,42.243,1.0,1.988,1.988,0.475,17.155,14.332,0.722,93.155,38.321,1.0,169.988,42.243,1.0,32.075,31.67,0.722,32.075,13.471,0.722,0.37262152084628397,0.0,0.09064255111189265,0.09064255111189265,0.01579951342999602,0.395734229730738,0.3463867199529447,0.014174516461485272,0.39573422973073724,0.38086877007707026,0.0,0.09064255111189763,0.37262152084628397,0.0,0.7050989572673748,0.7154166065453896,0.014174516461485272,0.7050989572673748,0.7103081702308489,0.014174516461485272
5,2.0,1000.0,0.6,5.0,46.15,1.0,2.672,2.672,0.52,19.61,16.705,0.759,95.61,42.054,1.0,170.672,46.15,1.0,36.785,36.382,0.759,36.785,16.316,0.759,0.41574312061938296,0.0,0.11183435484198459,0.11183435484198459,0.015806639423035177,0.41313506336376316,0.37121122393156814,0.013531522534515547,0.41313506336376205,0.4174749925077779,0.0,0.1118343548419907,0.41574312061938296,0.0,0.7478636741245529,0.7594292651780079,0.013531522534515547,0.7478636741245529,0.793065632275852,0.013531522534515547
6,2.0,1000.0,0.7,5.0,49.218,1.0,3.197,3.197,0.569,21.316,18.439,0.778,97.316,45.255,1.0,171.197,49.218,1.0,40.007,39.667,0.778,40.007,17.285,0.778,0.41844422755197724,0.0,0.12270797956224465,0.12270797956224465,0.01566794448817344,0.42250758177416964,0.38127109337929965,0.013148721948877347,0.422507581774168,0.4184244902656317,0.0,0.12270797956224651,0.41844422755197724,0.0,0.7657004951338666,0.775530501372163,0.013148721948877347,0.7657004951338666,0.8330076090148738,0.013148721948877347
7,2.0,1000.0,0.8,5.0,51.53,1.0,3.534,3.534,0.578,22.67,19.701,0.784,98.67,47.412,1.0,171.534,51.53,1.0,42.19,41.858,0.784,42.19,19.943,0.784,0.4444329202710131,0.0,0.13363645723642445,0.13363645723642445,0.015625625112620622,0.44050555631585964,0.4016278176420352,0.013019735539307757,0.44050555631585964,0.44563083695233996,0.0,0.13363645723643236,0.4444329202710131,0.0,0.8001313080426924,0.8091480436586105,0.013019735539307757,0.8001313080426924,0.9002311742920076,0.013019735539307757
8,2.0,1000.0,0.9,5.0,53.944,1.0,4.279,4.279,0.644,24.671,21.597,0.827,100.671,49.813,1.0,172.279,53.944,1.0,46.446,46.261,0.827,46.446,22.527,0.827,0.4459167026538759,0.0,0.1380442509314141,0.1380442509314141,0.015149042659306677,0.4289764326624247,0.39202075362316113,0.011967214137559929,0.42897643266242236,0.4438773006789799,0.0,0.13804425093142553,0.4459167026538759,0.0,0.778595720059708,0.7849159012097865,0.011967214137559929,0.778595720059708,0.9477148486936534,0.011967214137559929
9,2.0,1000.0,1.0,5.0,54.437,1.0,4.238,4.238,0.639,24.692,21.788,0.817,100.692,50.468,1.0,172.238,54.437,1.0,46.018,45.681,0.817,46.018,21.232,0.817,0.4399859300234712,0.0,0.1407592596214159,0.1407592596214159,0.01519572011817505,0.43970954103871845,0.4076410519405856,0.012233587399477748,0.439709541038721,0.4437904076542503,0.0,0.14075925962142286,0.4399859300234712,0.0,0.7950722079256802,0.8056626659659311,0.012233587399477748,0.7950722079256802,0.9379882717806219,0.012233587399477748
