,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecPR,NecPR and fair,NecPR exists,NDDPR,NDDPR and fair,NDDPR exists,PDDPR,PDDPR and fair,PDDPR exists,PosPR,PosPR and fair,PosPR exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecPR err,NecPR and fair err,NecPR exists err,NDDPR err,NDDPR and fair err,NDDPR exists err,PDDPR err,PDDPR and fair err,PDDPR exists err,PosPR err,PosPR and fair err,PosPR exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,50.0,0.5,2.0,5.64,0.94,0.14,0.14,0.14,1.44,0.58,0.24,4.62,2.52,0.88,41.44,5.64,1.0,1.72,1.12,0.24,1.72,0.7,0.24,0.5434282709928568,0.033926691677251195,0.04956957592256421,0.04956957592256421,0.04956957592256421,0.36607125435535925,0.1567267217360283,0.06101187572589321,0.4606029765870128,0.2986226886960896,0.046423076597919784,0.503992225401654,0.5434282709928568,0.0,0.48826222462934815,0.4357868791985741,0.06101187572589321,0.48826222462934815,0.3502185906323218,0.06101187572589321
1,3.0,50.0,0.5,3.0,102.82,1.0,0.44,0.44,0.16,11.66,8.46,0.38,168.42,70.3,1.0,1011.7,102.82,1.0,41.02,38.08,0.38,41.02,24.3,0.38,7.094216673043027,0.0,0.1669901622423138,0.1669901622423138,0.05237229365663817,2.227767254175245,1.680915688254592,0.06934092056863769,6.835745782880118,5.386093203798094,0.0,3.5430011491465963,7.094216673043027,0.0,8.344446521795321,8.446607337280696,0.06934092056863769,8.344446521795321,7.322888356212391,0.06934092056863769
2,3.0,50.0,0.5,4.0,2404.54,1.0,4.14,4.14,0.26,221.44,166.06,0.48,4935.16,1844.62,1.0,23755.94,2404.54,1.0,1174.58,1174.58,0.48,1174.58,260.42,0.48,113.97841259982313,0.0,1.259740822064408,1.259740822064408,0.06266203485560375,36.16697286932668,27.56648971309261,0.07137140569598169,131.85915293313903,97.77128199872126,0.0,37.24048060806158,113.97841259982313,0.0,190.78445598344211,190.78445598344211,0.07137140569598169,190.78445598344211,102.09042846258149,0.07137140569598169
3,3.0,50.0,0.5,5.0,48701.72,1.0,27.4,27.4,0.36,3265.44,2754.94,0.54,124282.84,40700.32,1.0,559468.14,48701.72,1.0,26948.08,26948.08,0.54,26948.08,8401.24,0.54,1721.616365106953,0.0,9.29379867855717,9.29379867855717,0.06857142857142856,509.4029247289899,428.9580098474033,0.07119963311072636,2333.642398913806,1540.3744711529052,0.0,421.66816628339643,1721.616365106953,0.0,3770.3040455363484,3770.3040455363484,0.07119963311072636,3770.3040455363484,2840.19080582949,0.07119963311072636
