,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecPR,NecPR and fair,NecPR exists,NDDPR,NDDPR and fair,NDDPR exists,PDDPR,PDDPR and fair,PDDPR exists,PosPR,PosPR and fair,PosPR exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecPR err,NecPR and fair err,NecPR exists err,NDDPR err,NDDPR and fair err,NDDPR exists err,PDDPR err,PDDPR and fair err,PDDPR exists err,PosPR err,PosPR and fair err,PosPR exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,1000.0,0.1,4.0,173.36,0.996,0.0,0.0,0.0,6.028,1.301,0.067,2304.762,86.668,1.0,23242.37,173.36,1.0,10.98,3.725,0.065,10.98,0.361,0.065,2.8615843627377227,0.0019969947390987225,0.0,0.0,0.0,0.7540277009326473,0.1932090285900965,0.007910345983177573,13.145247463889252,1.9780820469799991,0.0,4.357571747143941,2.8615843627377227,0.0,1.485502715688638,0.8972504853347438,0.007799733061832042,1.485502715688638,0.361,0.007799733061832042
1,3.0,1000.0,0.2,4.0,625.116,1.0,0.017,0.017,0.003,31.031,15.754,0.181,2966.21,403.14,1.0,23360.246,625.116,1.0,122.791,98.935,0.181,122.791,9.62,0.181,8.69420921175801,0.0,0.014174339910976875,0.014174339910976875,0.0017303161543469432,2.3441333153214643,1.2463582522264187,0.012181436179178027,18.586118413958793,6.600037188599084,0.0,5.397477211087433,8.69420921175801,0.0,9.266644701456025,8.52746553457963,0.012181436179178027,9.266644701456025,2.988492041930961,0.012181436179178027
2,3.0,1000.0,0.3,4.0,1192.417,1.0,0.224,0.224,0.047,76.69,49.749,0.294,3578.723,848.68,1.0,23480.01,1192.417,1.0,384.148,352.115,0.294,384.148,91.366,0.294,14.260314571659453,0.0,0.0463893950809447,0.0463893950809447,0.006695956678163011,4.173865241122556,2.8225840961749893,0.014414290540008265,22.94302793446854,12.120595134993438,0.0,6.427628357832822,14.260314571659453,0.0,20.80276744159847,20.431582938097485,0.014414290540008265,20.80276744159847,11.470943491648304,0.014414290540008265
3,3.0,1000.0,0.4,4.0,1743.005,1.0,1.327,1.327,0.153,128.918,92.783,0.369,4129.418,1297.384,1.0,23595.14,1743.005,1.0,688.836,674.361,0.369,688.836,197.218,0.369,18.70686921777479,0.0,0.15934698761652968,0.15934698761652968,0.011389500459665504,5.793696937206864,4.319417006295441,0.015266698139154782,25.317883294037323,16.18109546336077,0.0,7.484300846383956,18.70686921777479,0.0,30.89865213577783,30.850677869440794,0.015266698139154782,30.89865213577783,20.27111384538434,0.015266698139154782
4,3.0,1000.0,0.5,4.0,2211.558,1.0,3.297,3.297,0.241,177.48,134.24,0.412,4620.364,1710.866,1.0,23710.701,2211.558,1.0,974.328,948.403,0.412,974.328,315.68,0.412,21.269381496066732,0.0,0.2855737091248831,0.2855737091248831,0.013531522534515549,7.261592823226205,5.621723594786227,0.015572363292015072,27.528611078874608,18.630654559980798,0.0,8.65636530301743,21.269381496066732,0.0,39.480666299182786,39.37015663957695,0.015572363292015072,39.480666299182786,27.212598647044445,0.015572363292015072
5,3.0,1000.0,0.6,4.0,2589.831,1.0,6.69,6.69,0.315,226.659,180.553,0.457,4994.742,2047.269,1.0,23816.151,2589.831,1.0,1280.124,1270.698,0.457,1280.124,406.112,0.457,24.13465632809124,0.0,0.47029467047488116,0.47029467047488116,0.014696631960792616,8.451958016537548,6.890785013995801,0.0157606915901365,29.01417529077472,21.353204114721624,0.0,9.298802499616691,24.13465632809124,0.0,47.35063291088157,47.40433477807437,0.0157606915901365,47.35063291088157,33.497169818386766,0.0157606915901365
6,3.0,1000.0,0.7,4.0,2919.299,1.0,10.2,10.2,0.384,273.158,222.003,0.504,5281.606,2339.603,1.0,23874.796,2919.299,1.0,1575.075,1558.839,0.504,1575.075,594.875,0.504,24.500228872682275,0.0,0.6113130979323965,0.6113130979323965,0.015387682761896958,9.211803425950771,7.651802733740336,0.015818793703510838,28.983788861720374,22.0867762490608,0.0,9.758918837707576,24.500228872682275,0.0,52.51779083061976,52.56735639193811,0.015818793703510838,52.51779083061976,40.82698985322669,0.015818793703510838
7,3.0,1000.0,0.8,4.0,3223.174,1.0,14.141,14.141,0.435,318.351,260.975,0.545,5574.269,2599.342,1.0,23963.853,3223.174,1.0,1844.871,1824.816,0.545,1844.871,754.394,0.545,26.457875631027267,0.0,0.7432183343355386,0.7432183343355386,0.015685057252717346,9.863192909670447,8.293673455978018,0.015755101498347232,29.111216112394533,23.699215046702076,0.0,10.421640849170698,26.457875631027267,0.0,56.75898444011902,56.859657973372016,0.015755101498347232,56.75898444011902,47.98976474504,0.015755101498347232
8,3.0,1000.0,0.9,4.0,3377.819,1.0,16.509,16.509,0.448,329.041,270.611,0.544,5702.768,2737.158,1.0,24010.682,3377.819,1.0,1936.262,1920.615,0.544,1936.262,825.515,0.544,26.408538792598154,0.0,0.8328130021178203,0.8328130021178203,0.01573351656634789,10.159354201758928,8.56139598314318,0.015757928553979176,28.942220168540665,23.70539965933943,0.0,9.854416187398211,26.408538792598154,0.0,59.287875096764004,59.273246954925455,0.015757928553979176,59.287875096764004,50.592234186038226,0.015757928553979176
9,3.0,1000.0,1.0,4.0,3540.16,1.0,19.998,19.998,0.491,373.789,314.334,0.582,5873.315,2892.947,1.0,24044.52,3540.16,1.0,2162.958,2147.215,0.582,2162.958,1036.357,0.582,26.376503565490673,0.0,0.909555543816477,0.909555543816477,0.0158167369950053,10.667799042699267,9.181890630995316,0.015605111967541902,29.442870417019503,24.352680082861884,0.0,10.555987327979288,26.376503565490673,0.0,61.232261807989104,61.442258551512495,0.015605111967541902,61.232261807989104,55.35396487134393,0.015605111967541902
