,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecPR,NecPR and fair,NecPR exists,NDDPR,NDDPR and fair,NDDPR exists,PDDPR,PDDPR and fair,PDDPR exists,PosPR,PosPR and fair,PosPR exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecPR err,NecPR and fair err,NecPR exists err,NDDPR err,NDDPR and fair err,NDDPR exists err,PDDPR err,PDDPR and fair err,PDDPR exists err,PosPR err,PosPR and fair err,PosPR exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,2.0,1000.0,0.5,2.0,1.04,0.714,0.349,0.349,0.327,1.122,0.638,0.561,1.122,0.638,0.561,2.349,1.04,1.0,0.756,0.685,0.472,0.756,0.558,0.472,0.026059145785675305,0.014297146862518007,0.01647636095958299,0.01647636095958299,0.014842213153411162,0.03140226269080147,0.023738566079683908,0.015701131345400736,0.03140226269080147,0.023738566079683908,0.015701131345400736,0.01647636095958294,0.026059145785675305,0.0,0.02865807539394935,0.028924239170834063,0.015794475789511514,0.02865807539394935,0.028274289300271288,0.015794475789511514
1,2.0,1000.0,0.5,3.0,3.364,0.977,0.487,0.487,0.354,2.056,1.608,0.675,6.056,2.888,1.0,10.487,3.364,1.0,2.545,2.325,0.668,2.545,1.369,0.668,0.052328216501637465,0.004742730594656786,0.023245889343524187,0.023245889343524187,0.015129868238451812,0.05017351274707982,0.04434300736646424,0.014818724459095479,0.05017351274707978,0.05031886314284125,0.0,0.023245889343524024,0.052328216501637465,0.0,0.07033435804727248,0.07353082198494576,0.014899597242811565,0.07033435804727248,0.06939491807513468,0.014899597242811565
2,2.0,1000.0,0.5,4.0,11.723,1.0,0.882,0.882,0.411,6.635,4.91,0.717,22.635,9.862,1.0,42.882,11.723,1.0,9.028,8.52,0.717,9.028,4.271,0.717,0.13224885920400511,0.0,0.04230680637753062,0.04230680637753062,0.01556667341859915,0.14742289004258638,0.12010130858706047,0.01425181090648182,0.14742289004258594,0.12857483224755725,0.0,0.04230680637753386,0.13224885920400511,0.0,0.21183505396909663,0.22123413964518351,0.01425181090648182,0.21183505396909663,0.21609316337000406,0.01425181090648182
3,2.0,1000.0,0.5,5.0,41.796,1.0,1.838,1.838,0.463,17.419,14.568,0.744,93.419,37.881,1.0,169.838,41.796,1.0,32.723,32.083,0.744,32.723,12.456,0.744,0.38094816642885365,0.0,0.08528205572703457,0.08528205572703457,0.015775927227262423,0.3827923313873581,0.3393472153009842,0.013807775152234143,0.3827923313873595,0.38559242798649523,0.0,0.08528205572703862,0.38094816642885365,0.0,0.6896244288399687,0.7041206550704907,0.013807775152234143,0.6896244288399687,0.6839545729490065,0.013807775152234143
4,2.0,1000.0,0.5,6.0,153.767,1.0,4.264,4.264,0.5,58.289,47.64,0.747,356.289,139.124,1.0,664.264,153.767,1.0,119.002,117.918,0.747,119.002,43.229,0.747,1.1769017838412894,0.0,0.19718312601534943,0.19718312601534943,0.015819299929208316,1.270413881548226,1.08551220017867,0.013754278613587127,1.2704138815482298,1.1940504094804298,0.0,0.19718312601532584,1.1769017838412894,0.0,2.417887130156033,2.445863349315231,0.013754278613587127,2.417887130156033,2.404547859662895,0.013754278613587127
5,2.0,1000.0,0.5,7.0,570.226,1.0,11.334,11.334,0.558,188.954,163.258,0.777,1430.954,532.851,1.0,2585.334,570.226,1.0,458.104,458.104,0.777,458.104,152.758,0.777,3.8096527897406047,0.0,0.49200865492033424,0.49200865492033424,0.01571250721186415,3.8864106926664435,3.4025826962771966,0.013169830843425606,3.8864106926664546,3.8418723015974674,0.0,0.492008654921007,3.8096527897406047,0.0,8.434294191128414,8.434294191128414,0.013169830843425606,8.434294191128414,8.616050822027907,0.013169830843425606
6,2.0,1000.0,0.5,8.0,2154.844,1.0,27.88,27.88,0.562,668.6,571.423,0.794,5524.6,2006.346,1.0,10037.88,2154.844,1.0,1740.46,1740.46,0.794,1740.46,619.483,0.794,13.377946520939474,0.0,1.2728258662070338,1.2728258662070338,0.01569721001969466,13.210032056999216,11.491708900091599,0.012795613612786519,13.21003205699914,13.533997242698318,0.0,1.2728258662124339,13.377946520939474,0.0,30.461147021704182,30.461147021704182,0.012795613612786519,30.461147021704182,32.54068302544928,0.012795613612786519
