,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,250.0,2.0,0.11,0.25,0.17,0.9,0.54,1.0,0.58,0.58
1,250.0,3.0,0.13,0.33,0.29,1.0,0.75,1.0,0.75,0.75
2,250.0,4.0,0.28,0.57,0.54,1.0,0.96,1.0,0.96,0.96
3,250.0,5.0,0.34,0.5,0.49,1.0,0.99,1.0,0.99,0.99
