,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecEF,NecEF and fair,NecEF exists,NDDEF,NDDEF and fair,NDDEF exists,WeakPDDEF,WeakPDDEF and fair,WeakPDDEF exists,WeakPosEF,WeakPosEF and fair,WeakPosEF exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecEF err,NecEF and fair err,NecEF exists err,NDDEF err,NDDEF and fair err,NDDEF exists err,WeakPDDEF err,WeakPDDEF and fair err,WeakPDDEF exists err,WeakPosEF err,WeakPosEF and fair err,WeakPosEF exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,10.0,0.1,4.0,27.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.0,10.3,1.0,9770.7,27.3,1.0,4.9,0.0,0.2,4.9,0.0,0.2,3.0296681153038656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.11087789401905,3.0038863715748856,0.0,44.3804386338352,3.0296681153038656,0.0,3.308070938376826,0.0,0.13333333333333333,3.308070938376826,0.0,0.13333333333333333
1,3.0,10.0,0.2,4.0,98.8,1.0,0.0,0.0,0.0,0.3,0.2,0.1,1974.3,54.2,1.0,9598.6,98.8,1.0,9.9,0.0,0.1,9.9,0.0,0.1,9.892533660403812,0.0,0.0,0.0,0.0,0.30000000000000004,0.19999999999999998,0.09999999999999999,72.07913089869459,6.014427099344815,0.0,42.844991928260846,9.892533660403812,0.0,9.9,0.0,0.09999999999999999,9.9,0.0,0.09999999999999999
2,3.0,10.0,0.3,4.0,263.7,1.0,0.0,0.0,0.0,32.3,19.9,0.5,2551.2,193.0,1.0,9512.4,263.7,1.0,148.1,111.7,0.5,148.1,22.0,0.5,31.522496376045137,0.0,0.0,0.0,0.0,12.338782579961265,7.710670816760658,0.16666666666666669,127.08805346425514,28.155520477045584,0.0,34.592613212784116,31.522496376045137,0.0,50.658431348262916,46.31247732043229,0.16666666666666669,50.658431348262916,22.0,0.16666666666666669
3,3.0,10.0,0.4,4.0,311.5,1.0,0.2,0.2,0.1,23.0,14.0,0.2,2392.0,225.2,1.0,9563.6,311.5,1.0,80.9,80.9,0.2,80.9,0.0,0.2,43.004198761412944,0.0,0.19999999999999998,0.19999999999999998,0.09999999999999999,15.42076522096099,9.334523733610267,0.13333333333333333,124.9511904705194,36.566165295863954,0.0,56.285818225660314,43.004198761412944,0.0,54.415775898783856,54.415775898783856,0.13333333333333333,54.415775898783856,0.0,0.13333333333333333
4,3.0,10.0,0.5,4.0,516.9,1.0,0.5,0.5,0.3,71.9,53.8,0.5,2870.6,439.6,1.0,9794.5,516.9,1.0,281.6,254.5,0.5,281.6,0.0,0.5,58.22550987325059,0.0,0.3073181485764296,0.3073181485764296,0.15275252316519466,29.31266317177991,23.592277455887036,0.16666666666666669,247.92589394593077,66.39431033186835,0.0,115.67572010677765,58.22550987325059,0.0,107.58771098761956,111.23561080477381,0.16666666666666669,107.58771098761956,0.0,0.16666666666666669
5,3.0,10.0,0.6,4.0,534.2,1.0,0.6,0.6,0.2,54.5,39.0,0.4,2719.7,444.3,1.0,9628.9,534.2,1.0,233.9,233.9,0.4,233.9,72.2,0.4,52.4315002858226,0.0,0.42687494916218993,0.42687494916218993,0.13333333333333333,23.72305489040847,19.058389811897076,0.1632993161855452,183.92643758971835,46.18009431682777,0.0,35.09493474056492,52.4315002858226,0.0,103.71054269777333,103.71054269777333,0.1632993161855452,103.71054269777333,72.19999999999999,0.1632993161855452
6,3.0,10.0,0.7,4.0,701.1,1.0,4.4,4.4,0.5,103.3,64.7,0.7,3224.6,533.6,1.0,10104.6,701.1,1.0,476.4,450.0,0.7,476.4,36.5,0.7,157.32305404273504,0.0,2.6085330062018466,2.6085330062018466,0.16666666666666669,34.82625127368402,24.36301842273791,0.15275252316519466,178.69198825539607,119.34471081702782,0.0,150.22998665009248,157.32305404273504,0.0,184.53697009903823,189.7285780617494,0.15275252316519466,184.53697009903823,36.5,0.15275252316519466
7,3.0,10.0,0.8,4.0,953.2,1.0,6.6,6.6,0.3,123.3,96.0,0.5,3203.5,791.5,1.0,10080.6,953.2,1.0,596.0,596.0,0.5,596.0,0.0,0.5,153.6981746439718,0.0,4.318435930853773,4.318435930853773,0.15275252316519466,44.184222925786024,35.80378626781127,0.16666666666666669,302.06898586617973,139.0599590903946,0.0,232.59460202009555,153.6981746439718,0.0,230.91311497328743,230.91311497328743,0.16666666666666669,230.91311497328743,0.0,0.16666666666666669
8,3.0,10.0,0.9,4.0,732.0,1.0,4.4,4.4,0.4,88.2,67.6,0.5,3076.0,628.0,1.0,10054.9,732.0,1.0,462.5,462.5,0.5,462.5,81.5,0.5,89.6335750585559,0.0,2.8682166352398606,2.8682166352398606,0.1632993161855452,33.32293171042694,27.494726767145735,0.16666666666666669,222.96731200385025,83.71645265086454,0.0,136.13869153673662,89.6335750585559,0.0,163.8804611769065,163.8804611769065,0.16666666666666669,163.8804611769065,81.5,0.16666666666666669
9,3.0,10.0,1.0,4.0,967.7,1.0,11.3,11.3,0.6,171.2,127.7,0.6,3625.0,832.6,1.0,10474.2,967.7,1.0,661.7,567.6,0.6,661.7,200.3,0.6,92.63321338603242,0.0,4.041589346339438,4.041589346339438,0.1632993161855452,50.19225261155573,39.98251006516613,0.1632993161855452,267.3440147492033,90.37357037443091,0.0,183.31180479656894,92.63321338603242,0.0,188.02423307175653,195.8761059672386,0.1632993161855452,188.02423307175653,133.83755078452384,0.1632993161855452
