,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecPR,NecPR and fair,NecPR exists,NDDPR,NDDPR and fair,NDDPR exists,PDDPR,PDDPR and fair,PDDPR exists,PosPR,PosPR and fair,PosPR exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecPR err,NecPR and fair err,NecPR exists err,NDDPR err,NDDPR and fair err,NDDPR exists err,PDDPR err,PDDPR and fair err,PDDPR exists err,PosPR err,PosPR and fair err,PosPR exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,50.0,0.1,4.0,166.18,1.0,0.0,0.0,0.0,12.28,2.26,0.14,2370.22,76.96,1.0,23228.96,166.18,1.0,25.68,1.8,0.14,25.68,0.0,0.14,9.622918645884216,0.0,0.0,0.0,0.0,4.4735084163350365,0.8768263738026579,0.04956957592256421,62.612741025892916,7.913871056697907,0.0,19.777124695577555,9.622918645884216,0.0,9.562530618865212,1.8,0.04956957592256421,9.562530618865212,0.0,0.04956957592256421
1,3.0,50.0,0.2,4.0,616.38,1.0,0.0,0.0,0.0,23.62,9.18,0.12,2841.6,446.04,1.0,23399.2,616.38,1.0,61.7,56.48,0.12,61.7,8.9,0.12,35.91292064686128,0.0,0.0,0.0,0.0,10.34573322284928,3.875057866585705,0.04642307659791978,90.52729884810836,31.564562407864926,0.0,24.82087666396839,35.91292064686128,0.0,25.577593031912176,25.278420901340063,0.04642307659791978,25.577593031912176,8.9,0.04642307659791978
2,3.0,50.0,0.3,4.0,1195.9,1.0,0.16,0.16,0.06,91.48,52.26,0.34,3731.72,829.32,1.0,23429.74,1195.9,1.0,403.28,394.26,0.34,403.28,42.62,0.34,67.54037492417372,0.0,0.09629885455058695,0.09629885455058695,0.033926691677251195,21.502486614627735,12.806879847510533,0.0676726816132972,120.08988144090169,51.36722086692871,0.0,32.62985749275532,67.54037492417372,0.0,90.18057639638191,90.53357392792614,0.0676726816132972,90.18057639638191,33.80098887576504,0.0676726816132972
3,3.0,50.0,0.4,4.0,1707.28,1.0,0.94,0.94,0.2,170.32,122.54,0.54,4177.68,1304.82,1.0,23598.58,1707.28,1.0,931.8,895.0,0.54,931.8,309.56,0.54,75.85691170263408,0.0,0.34571428571428575,0.34571428571428575,0.05714285714285714,24.36721517757423,18.861519189144044,0.07119963311072636,103.08942201124307,68.04843827025282,0.0,36.28904472902551,75.85691170263408,0.0,135.5112405910691,135.4746576195816,0.07119963311072636,135.5112405910691,106.3879430026097,0.07119963311072636
4,3.0,50.0,0.5,4.0,2174.06,1.0,3.02,3.02,0.22,171.1,132.12,0.4,4499.94,1646.3,1.0,23692.74,2174.06,1.0,910.0,877.36,0.4,910.0,403.02,0.4,103.11881164116338,0.0,1.1126324731950634,1.1126324731950634,0.059178043363451366,33.56880536863877,26.85870269026562,0.06998542122237651,133.342083961149,94.12373640640303,0.0,39.701332008661254,103.11881164116338,0.0,173.45295427561553,173.7510176390695,0.06998542122237651,173.45295427561553,133.92493630114336,0.06998542122237651
5,3.0,50.0,0.6,4.0,2600.04,1.0,5.9,5.9,0.3,232.9,180.28,0.48,5087.12,2076.56,1.0,23792.86,2600.04,1.0,1318.4,1259.28,0.48,1318.4,404.02,0.48,105.51536094767609,0.0,2.1584669540756782,2.1584669540756782,0.06546536707079771,38.58465646193723,30.743999447710383,0.07137140569598169,116.17293456967774,97.39905778365029,0.0,45.04285496802833,105.51536094767609,0.0,212.9716988000892,211.89735682299442,0.07137140569598169,212.9716988000892,139.08733268808385,0.07137140569598169
6,3.0,50.0,0.7,4.0,2981.58,1.0,6.78,6.78,0.34,219.98,181.0,0.4,5195.6,2299.96,1.0,23886.5,2981.58,1.0,1325.08,1325.08,0.4,1325.08,466.66,0.4,116.94217336018725,0.0,1.729997050840945,1.729997050840945,0.0676726816132972,40.32862446228991,34.43338437016718,0.06998542122237651,128.3705001397221,105.76062675414029,0.0,39.09734841470251,116.94217336018725,0.0,237.4832322158208,237.4832322158208,0.06998542122237651,237.4832322158208,168.2515478535102,0.06998542122237651
7,3.0,50.0,0.8,4.0,3096.16,1.0,14.46,14.46,0.36,325.44,266.16,0.54,5469.44,2476.32,1.0,23889.08,3096.16,1.0,1790.4,1719.7,0.54,1790.4,622.98,0.54,120.69008839475876,0.0,3.735129427039269,3.735129427039269,0.06857142857142856,48.29633154615707,40.65342177530467,0.07119963311072636,153.40957626496478,108.91553154736417,0.0,50.60055529256245,120.69008839475876,0.0,253.69022086644432,258.4659252005879,0.07119963311072636,253.69022086644432,205.6745745202397,0.07119963311072636
8,3.0,50.0,0.9,4.0,3482.38,1.0,22.3,22.3,0.6,433.22,354.58,0.72,5937.94,2805.4,1.0,24013.46,3482.38,1.0,2516.34,2358.96,0.72,2516.34,1090.5,0.72,137.81341687001213,0.0,4.19477322974432,4.19477322974432,0.06998542122237651,43.25945728852776,38.282826010457214,0.06414269805898186,117.69654654826446,123.83559212742922,0.0,43.87477737603498,137.81341687001213,0.0,257.34360356122613,270.5892812936617,0.06414269805898186,257.34360356122613,253.01231921285847,0.06414269805898186
9,3.0,50.0,1.0,4.0,3597.66,1.0,20.74,20.74,0.5,387.58,329.54,0.6,5959.46,2938.2,1.0,24043.26,3597.66,1.0,2300.22,2300.22,0.6,2300.22,862.68,0.6,113.92440605014183,0.0,5.041769206805671,5.041769206805671,0.07142857142857144,48.487137701136575,42.56713506632907,0.06998542122237651,123.79957208722327,100.99275787331084,0.0,43.855261104378265,113.92440605014183,0.0,280.2411400263446,280.2411400263446,0.06998542122237651,280.2411400263446,236.97560442770805,0.06998542122237651
