,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,2.0,100.0,100.0,2.0,0.18,0.43,0.23,0.43,0.23,1.0,0.42,0.42
1,2.0,100.0,100.0,3.0,0.22,0.56,0.45,1.0,0.58,1.0,0.58,0.58
2,2.0,100.0,100.0,4.0,0.27,0.67,0.55,1.0,0.76,1.0,0.76,0.76
3,2.0,100.0,100.0,5.0,0.28,0.74,0.68,1.0,0.82,1.0,0.82,0.82
4,2.0,100.0,100.0,6.0,0.29,0.66,0.64,1.0,0.95,1.0,0.95,0.95
5,2.0,100.0,100.0,7.0,0.39,0.78,0.78,1.0,0.96,1.0,0.96,0.96
