,Agents,Iterations,Noise size,Items per agent,Cardinally fair,Fair exists,NecEF,NecEF and fair,NecEF exists,NDDEF,NDDEF and fair,NDDEF exists,WeakPDDEF,WeakPDDEF and fair,WeakPDDEF exists,WeakPosEF,WeakPosEF and fair,WeakPosEF exists,ABCCBA,ABCCBA and fair,ABCCBA exists,Baseline,Baseline and fair,Baseline exists,Cardinally fair err,Fair exists err,NecEF err,NecEF and fair err,NecEF exists err,NDDEF err,NDDEF and fair err,NDDEF exists err,WeakPDDEF err,WeakPDDEF and fair err,WeakPDDEF exists err,WeakPosEF err,WeakPosEF and fair err,WeakPosEF exists err,ABCCBA err,ABCCBA and fair err,ABCCBA exists err,Baseline err,Baseline and fair err,Baseline exists err
0,3.0,10.0,0.5,2.0,0.9,0.6,0.1,0.1,0.1,0.2,0.1,0.1,2.5,0.3,0.9,8.1,0.9,1.0,0.2,0.2,0.1,0.2,0.0,0.1,0.27688746209726917,0.1632993161855452,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.09999999999999999,0.09999999999999999,0.7031674369909662,0.15275252316519466,0.09999999999999998,0.8225975119502046,0.27688746209726917,0.0,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.19999999999999998,0.0,0.09999999999999999
1,3.0,10.0,0.5,3.0,26.4,1.0,0.8,0.8,0.1,3.8,3.2,0.1,98.3,19.7,1.0,328.9,26.4,1.0,8.8,8.8,0.1,8.8,8.8,0.1,7.044619696382954,0.0,0.7999999999999999,0.7999999999999999,0.09999999999999999,3.8000000000000003,3.1999999999999997,0.09999999999999999,14.33182162570799,7.22041857820199,0.0,13.587944002762981,7.044619696382954,0.0,8.8,8.8,0.09999999999999999,8.8,8.8,0.09999999999999999
2,3.0,10.0,0.5,4.0,474.0,1.0,2.5,2.5,0.1,43.6,33.5,0.2,2527.6,372.1,1.0,9726.5,474.0,1.0,190.1,190.1,0.2,190.1,190.1,0.2,132.50366871231236,0.0,2.5,2.5,0.09999999999999999,36.222828897441644,28.66094904220724,0.13333333333333333,236.16163015095304,114.4940997994608,0.0,225.8356457446201,132.50366871231236,0.0,162.89345188394364,162.89345188394364,0.13333333333333333,162.89345188394364,162.89345188394364,0.13333333333333333
3,3.0,10.0,0.5,5.0,10065.4,1.0,4.0,4.0,0.2,832.0,643.0,0.6,75055.3,8608.7,1.0,269434.2,10065.4,1.0,6221.8,6221.8,0.6,6221.8,3452.8,0.6,710.5558888019378,0.0,3.3862466931200785,3.3862466931200785,0.13333333333333333,257.15123090422014,207.73974102227044,0.1632993161855452,2770.973663814858,737.2158593880984,0.0,1225.855019522406,710.5558888019378,0.0,1786.732572167543,1786.732572167543,0.1632993161855452,1786.732572167543,1781.9965818647852,0.1632993161855452
