,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,2.0,1000.0,250.0,2.0,0.311,0.547,0.373,0.547,0.373,1.0,0.518,0.518
1,2.0,1000.0,250.0,3.0,0.336,0.64,0.535,1.0,0.694,1.0,0.694,0.694
2,2.0,1000.0,250.0,4.0,0.404,0.683,0.642,1.0,0.889,1.0,0.889,0.889
3,2.0,1000.0,250.0,5.0,0.47,0.756,0.726,1.0,0.934,1.0,0.934,0.934
4,2.0,1000.0,250.0,6.0,0.521,0.774,0.768,1.0,0.986,1.0,0.986,0.986
5,2.0,1000.0,250.0,7.0,0.52,0.771,0.77,1.0,0.993,1.0,0.993,0.993
6,2.0,1000.0,250.0,8.0,0.594,0.797,0.796,1.0,0.998,1.0,0.998,0.998
