,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,1000.0,0.5,2.0,0.327,0.561,0.409,0.561,0.409,1.0,0.554,0.554,0.151
1,2.0,1000.0,0.5,3.0,0.354,0.675,0.569,1.0,0.714,1.0,0.714,0.714,0.0065
2,2.0,1000.0,0.5,4.0,0.411,0.717,0.657,1.0,0.88,1.0,0.88,0.88,0.0
3,2.0,1000.0,0.5,5.0,0.463,0.744,0.723,1.0,0.944,1.0,0.944,0.944,0.0
4,2.0,1000.0,0.5,6.0,0.5,0.747,0.737,1.0,0.98,1.0,0.98,0.98,0.0
5,2.0,1000.0,0.5,7.0,0.558,0.777,0.777,1.0,0.99,1.0,0.99,0.99,0.0
6,2.0,1000.0,0.5,8.0,0.562,0.794,0.794,1.0,0.999,1.0,0.999,0.999,0.0
