,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,250.0,2.0,0.28,0.56,0.37,0.56,0.37,1.0,0.54,0.54
1,250.0,3.0,0.36,0.67,0.55,1.0,0.72,1.0,0.72,0.72
2,250.0,4.0,0.36,0.71,0.69,1.0,0.93,1.0,0.93,0.93
3,250.0,5.0,0.3,0.67,0.65,1.0,0.92,1.0,0.92,0.92
4,250.0,6.0,0.54,0.82,0.82,1.0,1.0,1.0,1.0,1.0
5,250.0,7.0,0.57,0.77,0.77,1.0,1.0,1.0,1.0,1.0
6,250.0,8.0,0.61,0.8,0.8,1.0,1.0,1.0,1.0,1.0
